category,metric,unit,pm_off,pm_on,rule_off,rule_on,fixed_off,fixed_on,definition,aggregation,field
风险审计,无依据的个人信息断言 ↓,0–3,0,0,0,0,0,0,selected-context risk judge；均值。,mean,risk_unsupported_personal_claim
风险审计,策略过用 ↓,0–3,0,0,0,0,0,0,selected-context risk judge；均值。,mean,risk_strategy_overuse
风险审计,策略遗漏 ↓,0–3,0.10294117647058823,0.12254901960784313,0.04411764705882353,0.10784313725490197,0.058823529411764705,0.08823529411764706,selected-context risk judge；均值。,mean,risk_strategy_omission
风险审计,充分性：已选上下文 ↑,1–5,4.5245098039215685,4.436274509803922,4.642156862745098,4.455882352941177,4.666666666666667,4.470588235294118,selected-context risk judge；均值。,mean,risk_response_support_sufficiency
风险审计,总体风险 ↓,0–3,0.3284313725490196,0.4019607843137255,0.23039215686274508,0.37745098039215685,0.25980392156862747,0.38235294117647056,selected-context risk judge；均值。,mean,risk_overall_risk
风险审计,任意误用率（≥1）↓,%,0.9803921568627451,2.450980392156863,1.4705882352941175,1.4705882352941175,0.49019607843137253,2.941176470588235,分母为各组全部 204 条。,mean,
风险审计,明确误用率（≥2）↓,%,0,0,0,0,0,0,分母为各组全部 204 条。,mean,
风险审计,Acceptable 数量,条,203,204,204,204,204,204,直接统计 judge verdict，不能由各严重度阈值反推。,count,
风险审计,Minor issue 数量,条,1,0,0,0,0,0,直接统计 judge verdict，不能由各严重度阈值反推。,count,
风险审计,Major issue 数量,条,0,0,0,0,0,0,直接统计 judge verdict，不能由各严重度阈值反推。,count,
风险审计,Uncertain 数量,条,0,0,0,0,0,0,直接统计 judge verdict，不能由各严重度阈值反推。,count,
遗漏审计,遗漏严重度 ↓,0–3,0.3382352941176471,0.37254901960784315,0.4019607843137255,0.30392156862745096,0.35294117647058826,0.3235294117647059,独立 authorized-context omission judge；不用 risk 阶段同名辅助字段。,mean,omission_omission_severity
遗漏审计,充分性：完整授权上下文 ↑,1–5,4.504901960784314,4.450980392156863,4.470588235294118,4.553921568627451,4.495098039215686,4.529411764705882,独立 omission judge；与已选上下文充分性分开报告。,mean,omission_response_support_sufficiency
遗漏审计,任意遗漏率（≥1）↓,%,30.392156862745097,32.84313725490196,35.294117647058826,28.431372549019606,32.84313725490196,29.411764705882355,,mean,
遗漏审计,明确遗漏率（≥2）↓,%,3.431372549019608,4.411764705882353,4.901960784313726,1.9607843137254901,2.450980392156863,2.941176470588235,,mean,
遗漏审计,明确遗漏数量（≥2）↓,条,7,9,10,4,5,6,,sum,omission_clear
资源,请求来源总数（含 RS）↓,个/回复,2.715686274509804,2.715686274509804,3,3,4,4,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,source_invocations
资源,请求 Memory 来源数 ↓,个/回复,1.7745098039215685,1.7745098039215685,2,2,3,3,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,requested_memory_sources
资源,保留 Memory 来源数,个/回复,1.7745098039215685,0.8284313725490197,2,1.0049019607843137,3,1.1568627450980393,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,effective_memory_sources
资源,Strategy 卡片数,张/回复,2.823529411764706,2.823529411764706,3,3,3,3,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,strategy_cards
资源,候选 Memory 条目数,条/回复,4.196078431372549,4.196078431372549,5,5,7,7,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,candidate_items
资源,保留 Memory 条目数,条/回复,4.196078431372549,1.6176470588235294,5,2.0049019607843137,7,2.156862745098039,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,kept_items
资源,删除 Memory 条目数,条/回复,0,2.5784313725490198,0,2.9950980392156863,0,4.8431372549019605,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,dropped_items
资源,候选 Memory tokens ↓,估计 tokens,683.2549019607843,683.2549019607843,1024.5539215686274,1024.5539215686274,1037.8186274509803,1037.8186274509803,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,candidate_memory_tokens_est
资源,保留 Memory tokens ↓,估计 tokens,683.2549019607843,71.45098039215686,1024.5539215686274,91.51960784313725,1037.8186274509803,92.99019607843137,来源数为逻辑来源数；Memory token 沿用 v1 chars/4 估计。,mean,memory_tokens_est
资源,Memory token 削减比例,%,0.0,89.54255868679331,0.0,91.06737030462803,0.0,91.039841296082,1 − 组内保留 tokens 总和 / 候选 tokens 总和；不是逐状态百分比的均值。,mean,
资源,空 Memory 回复数,条,0,42,0,0,0,0,,sum,empty_memory
资源,空 Memory 比例,%,0,20.588235294117645,0,0,0,0,,mean,
来源分解,MP 请求比例,%,35.78431372549019,35.78431372549019,0,0,100,100,,mean,
来源分解,MS 请求比例,%,76.9607843137255,76.9607843137255,100,100,100,100,,mean,
来源分解,ME 请求比例,%,64.70588235294117,64.70588235294117,100,100,100,100,,mean,
来源分解,RS 请求比例,%,94.11764705882352,94.11764705882352,100,100,100,100,,mean,
来源分解,MP 候选条目数,条/回复,0.7156862745098039,0.7156862745098039,0,0,2,2,,mean,candidate_MP_items
来源分解,MP 保留条目数,条/回复,0.7156862745098039,0.07352941176470588,0,0,2,0.15196078431372548,,mean,kept_MP_items
来源分解,MS 候选条目数,条/回复,1.5392156862745099,1.5392156862745099,2,2,2,2,,mean,candidate_MS_items
来源分解,MS 保留条目数,条/回复,1.5392156862745099,1.5392156862745099,2,2,2,2,,mean,kept_MS_items
来源分解,ME 候选条目数,条/回复,1.9411764705882353,1.9411764705882353,3,3,3,3,,mean,candidate_ME_items
来源分解,ME 保留条目数,条/回复,1.9411764705882353,0.004901960784313725,3,0.004901960784313725,3,0.004901960784313725,,mean,kept_ME_items
生成用量,完整生成输入 tokens 均值,实际 tokens,1274.637254901961,693.3480392156863,1607.4019607843138,729.75,1634.7794117647059,732.1519607843137,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,mean,generator_input_tokens
生成用量,完整生成输入 tokens P50,实际 tokens,1517.5,707.5,1607.5,737.5,1634.0,739.0,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,p50,generator_input_tokens
生成用量,完整生成输入 tokens P95,实际 tokens,1775.35,833.85,1801.1,852.0,1826.95,852.0,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,p95,generator_input_tokens
生成用量,完整生成输入 tokens 最大值,实际 tokens,1907,1087,1907,1087,1937,1087,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,max,generator_input_tokens
生成用量,最终生成输出 tokens 均值,实际 tokens,68.16176470588235,65.95098039215686,68,66.22058823529412,69.13725490196079,66.5,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,mean,generator_output_tokens
生成用量,最终生成输出 tokens P50,实际 tokens,64.5,65.0,65.0,65.0,67.0,65.0,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,p50,generator_output_tokens
生成用量,最终生成输出 tokens P95,实际 tokens,95.85,91.85,94.39999999999998,91.85,97.0,91.0,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,p95,generator_output_tokens
生成用量,最终生成输出 tokens 最大值,实际 tokens,150,123,109,123,137,109,Llama tokenizer 实际计数；输出含终止 token，采用自然结束后的最终版本。,max,generator_output_tokens
生成用量,输入＋输出 tokens 均值,实际 tokens,1342.799019607843,759.2990196078431,1675.4019607843138,795.9705882352941,1703.9166666666667,798.6519607843137,,mean,generator_total_tokens
完成检查,原 100-token 上限触及数,条,7,4,5,4,5,3,,sum,was_cap_hit
完成检查,补全后文本改变数,条,7,3,5,3,4,2,,sum,text_changed_after_eos
完成检查,最终自然结束数,条,204,204,204,204,204,204,,sum,natural_stop
完成检查,risk 辅助校验例外数,条,0,0,0,0,1,0,保留最早原始评分；不改分、不删样本。该字段不是遗漏结果指标。,sum,risk_auxiliary_guard_exception
计时诊断,生成环节耗时 均值,秒,2.0552361705357565,1.8731104940833414,2.1097603924646653,1.8862428090280587,2.148504997120814,1.8941994249180425,本地 model.generate 与解码附近计时；1196 条原批次＋28 条 EOS 重生成批次，非统一端到端 benchmark。,mean,generation_seconds
计时诊断,生成环节耗时 P50,秒,1.9472298580221832,1.8532533135148697,2.036820533510763,1.850786506489385,2.08137223450467,1.8596855014911853,本地 model.generate 与解码附近计时；1196 条原批次＋28 条 EOS 重生成批次，非统一端到端 benchmark。,p50,generation_seconds
计时诊断,生成环节耗时 P95,秒,2.884851258969866,2.5953812076710165,2.838320697582094,2.595475779712433,2.9286970304092392,2.5785002141667066,本地 model.generate 与解码附近计时；1196 条原批次＋28 条 EOS 重生成批次，非统一端到端 benchmark。,p95,generation_seconds
计时诊断,生成环节耗时 最大值,秒,4.366181871038862,3.423653010977432,3.197142952005379,3.4223912339657545,4.065386957954615,3.017523230984807,本地 model.generate 与解码附近计时；1196 条原批次＋28 条 EOS 重生成批次，非统一端到端 benchmark。,max,generation_seconds
计时诊断,原批次自然结束子集：生成均时,秒,2.005068568784039,1.8499678818153915,2.0845809539285107,1.8633775113284354,2.116161274525978,1.8790331409319734,不同组子集构成不同，不能据此筛选比较或替代全样本结果。,subset mean,
计时诊断,EOS 补生成子集：生成均时,秒,3.4670958198340878,3.0302411074808333,3.111902046203613,3.029507694009226,3.435785156395286,2.9103404519846663,只对触及旧上限的样本测量；输出完整重生成耗时，不与原 100-token 耗时相加。,subset mean,
计时诊断,离线 policy.choose 耗时 均值,毫秒,5.071640503706922,5.071640503706922,12.655113340360021,12.655113340360021,0.00747471509099591,0.00747471509099591,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,mean,offline_policy_compute_ms
计时诊断,离线 policy.choose 耗时 P50,毫秒,5.351437488570809,5.351437488570809,1.5692365122959018,1.5692365122959018,0.007278460543602705,0.007278460543602705,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,p50,offline_policy_compute_ms
计时诊断,离线 policy.choose 耗时 P95,毫秒,5.738859373377636,5.738859373377636,150.2925775072071,150.2925775072071,0.008937407983466983,0.008937407983466983,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,p95,offline_policy_compute_ms
计时诊断,离线 Filter 函数耗时 均值,毫秒,0.7454762046964949,0.6810869535376483,0.9018277610177357,0.8908409417570368,1.0305739124305546,1.042772938757587,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,mean,offline_filter_compute_ms
计时诊断,离线 Filter 函数耗时 P50,毫秒,0.9122270275838673,0.8502380223944783,0.889019516762346,0.8844095282256603,1.0311644873581827,1.0506855323910713,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,p50,offline_filter_compute_ms
计时诊断,离线 Filter 函数耗时 P95,毫秒,1.142212061677128,1.0668396833352745,1.0763504018541425,1.068872370524332,1.2415692792274058,1.2671166798099875,来自离线规划，含首次调用等现场开销；不含完整线上检索链路。OFF Filter 也调用同一函数用于诊断。,p95,offline_filter_compute_ms
未测量,完整检索耗时,毫秒,,,,,,,未保存统一计时，不能从其他耗时相减推算。,unavailable,
未测量,端到端回复延迟,毫秒,,,,,,,未统一测量 PM＋检索＋Filter＋生成；不能将离线与生成计时直接相加作为线上延迟。,unavailable,
