card_id,state_id,user_id,fold,legal_actions,chosen_action,pm_response_preference,pm_misuse,pm_omission,pm_strategy_risk,pm_input_tokens,pm_source_invocations,shuffle_expectation_response_preference,shuffle_expectation_misuse,shuffle_expectation_omission,shuffle_expectation_strategy_risk,shuffle_expectation_input_tokens,shuffle_expectation_source_invocations,context_only_response_preference,context_only_misuse,context_only_omission,context_only_strategy_risk,context_only_input_tokens,context_only_source_invocations,me_r0_response_preference,me_r0_misuse,me_r0_omission,me_r0_strategy_risk,me_r0_input_tokens,me_r0_source_invocations,full_structured_response_preference,full_structured_misuse,full_structured_omission,full_structured_strategy_risk,full_structured_input_tokens,full_structured_source_invocations
card_08cad30bc8461bd1923a,state_017f27bddc5532d591d2,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS,ME+RS,0.4210494858264506,0.0,0.5,0.0,682.0,2.0,0.5197599717632415,0.2708333333333333,0.38541666666666663,0.25,598.2916666666666,1.9791666666666667,0.3529280681872598,0.0,0.5,1.0,205.0,0.0,0.5145975597562875,0.0,0.5,1.0,230.0,1.0,0.6474163992184723,0.5,0.0,0.0,746.0,3.0
card_0924a661d51ceab7a4b0,state_56323a2dbe7496613c69,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS,M0+RS,0.6167168348814488,0.0,1.0,0.0,597.0,1.0,0.526377682979722,0.0,0.17708333333333331,0.25,535.28125,1.5729166666666667,0.38328316511855115,0.0,1.0,1.0,202.0,0.0,0.4620049730225572,0.0,0.0,1.0,247.0,1.0,0.5379950269774428,0.0,0.0,0.0,642.0,2.0
card_0a2e38b4c824142e16d5,state_2e45d710018ff5bfa3db,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.3491758480239551,0.0,0.0,0.0,660.0,2.0,0.45286745250748595,0.0,0.17708333333333331,0.25,546.5729166666667,1.5729166666666667,0.3491758480239551,0.0,1.0,1.0,199.0,0.0,0.6508241519760448,0.0,0.0,1.0,224.0,1.0,0.3491758480239551,0.0,0.0,0.0,660.0,2.0
card_0a36f2864331b320abb8,state_c421d3a2c60deb3db059,sgv31_u01,0,M0+R0|M0+RS|MP+R0|MP+RS,M0+RS,0.42439180136663107,0.0,0.5,0.0,607.0,1.0,0.5864465548649865,0.0,0.13541666666666669,0.25,556.3125,1.4791666666666665,0.42807112701660105,0.0,0.5,1.0,203.0,0.0,0.42807112701660105,0.0,0.5,1.0,203.0,0.0,0.723145270250137,0.0,0.0,0.0,676.0,2.0
card_0a7664f44cd9ddc76fb2,state_bba634c26f74ef9851f7,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS|MPMS+R0|MPMS+RS|MPMSME+R0|MPMSME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,ME+R0,0.5919176245852192,0.0,0.5,1.0,231.0,1.0,0.47525810896989096,0.28125000000000006,0.48958333333333337,0.23958333333333334,570.5833333333334,2.375,0.6050469088753753,0.0,0.5,1.0,205.0,0.0,0.5919176245852192,0.0,0.5,1.0,231.0,1.0,0.465859637077809,0.5,0.0,0.0,731.0,4.0
card_0acd5079e3da7b64e834,state_e2626b6abc52788b72a6,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.38328316511855115,0.5,0.0,0.0,708.0,2.0,0.4531218462119431,0.3645833333333333,0.27083333333333337,0.25,580.5,1.4791666666666665,0.5379950269774428,0.0,1.0,1.0,204.0,0.0,0.5379950269774428,0.0,1.0,1.0,204.0,0.0,0.38328316511855115,0.5,0.0,0.0,708.0,2.0
card_0af33bf3d6db313b2ae8,state_9d9a435ab7e0fe25c389,sgv31_u16,0,M0+R0|M0+RS|MS+R0|MS+RS,MS+RS,0.6477291697335709,0.0,0.0,0.0,673.0,2.0,0.5738645848667854,0.0,0.23958333333333334,0.21875,551.2708333333333,1.4791666666666665,0.3522708302664292,0.0,0.5,0.5,191.0,0.0,0.3522708302664292,0.0,0.5,0.5,191.0,0.0,0.6477291697335709,0.0,0.0,0.0,673.0,2.0
card_0b8e6e89f25610719b0e,state_079d06cb710a5ff5d2f5,sgv31_u16,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,MPMS+R0,0.47781012637421677,0.0,0.0,1.0,317.0,2.0,0.49558058258816257,0.0,0.20833333333333334,0.22916666666666669,539.5,2.041666666666667,0.579192320171952,0.0,1.0,1.0,194.0,0.0,0.579192320171952,0.0,1.0,1.0,194.0,0.0,0.4891157590755086,0.0,0.0,0.0,670.0,3.0
card_0c832b6194915bc05a82,state_a5c0950eade6eebba49e,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS|MPMS+R0|MPMS+RS|MPMSME+R0|MPMSME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MSE+RS,0.5596437430083394,0.0,0.5,0.0,662.0,3.0,0.5053847063071923,0.19791666666666666,0.4479166666666667,0.2291666666666667,564.6041666666667,2.375,0.3184242879946674,0.0,1.0,1.0,202.0,0.0,0.5710652322396884,0.0,0.5,1.0,228.0,1.0,0.515176573292572,0.5,0.0,0.0,722.0,4.0
card_0d3bf602b5036a3292a9,state_e2626b6abc52788b72a6,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,MP+RS,0.41918388406555984,0.5,0.0,0.0,708.0,2.0,0.5151136906122424,0.07291666666666667,0.19791666666666669,0.22916666666666669,602.2916666666667,2.041666666666667,0.3767838580613178,0.0,0.5,1.0,204.0,0.0,0.3767838580613178,0.0,0.5,1.0,204.0,0.0,0.5564312016477567,0.0,0.0,0.0,749.0,3.0
card_0da2ea8a1785cbaec4c0,state_b7d59dcef186d683dbef,sgv31_u16,0,M0+R0|M0+RS,M0+RS,0.7215937546003562,0.0,1.0,0.0,656.0,1.0,0.6107968773001781,0.0,1.0,0.25,543.0,0.75,0.27840624539964376,0.0,1.0,1.0,204.0,0.0,0.27840624539964376,0.0,1.0,1.0,204.0,0.0,0.7215937546003562,0.0,1.0,0.0,656.0,1.0
card_0dcb86dd5ab5fe168993,state_d6fc7098e529947669eb,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.723145270250137,0.0,0.0,0.0,628.0,2.0,0.6081540093533678,0.0,0.15625,0.25,524.1458333333334,1.5729166666666667,0.42807112701660105,0.0,0.5,1.0,205.0,0.0,0.42439180136663107,0.0,0.0,1.0,231.0,1.0,0.723145270250137,0.0,0.0,0.0,628.0,2.0
card_0e0f1298e4c1157fc625,state_a5c0950eade6eebba49e,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MSE+RS,0.5863868465618328,0.0,0.0,0.5,659.0,3.0,0.5383373294331102,0.0,0.22916666666666666,0.45833333333333337,543.0833333333334,2.208333333333333,0.28627429835910917,0.0,0.5,1.0,202.0,0.0,0.5114177510876189,0.0,0.5,1.0,225.0,1.0,0.5863868465618328,0.0,0.0,0.5,659.0,3.0
card_0e3a9954d4f85b92715a,state_6b29985f90c8856420d3,sgv31_u11,0,M0+R0|M0+RS|MS+R0|MS+RS,M0+RS,0.6477291697335709,0.0,0.5,0.0,587.0,1.0,0.5738645848667854,0.0,0.13541666666666669,0.25,532.7708333333333,1.4791666666666665,0.3522708302664292,0.0,0.5,1.0,198.0,0.0,0.3522708302664292,0.0,0.5,1.0,198.0,0.0,0.6477291697335709,0.0,0.0,0.0,646.0,2.0
card_0e3c289ca230f0e333f2,state_4853397884f523af29af,sgv31_u06,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.5720345860688135,0.0,0.0,0.0,637.0,2.0,0.5495661244291814,0.0,0.08854166666666666,0.25,531.0416666666667,1.5729166666666667,0.28344454572025707,0.0,0.5,1.0,205.0,0.0,0.4279654139311864,0.0,0.0,1.0,233.0,1.0,0.5720345860688135,0.0,0.0,0.0,637.0,2.0
card_0e403ebeb4a897cb21e7,state_27ac82cb8118ff171f0d,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.45937805816938654,0.0,0.0,0.0,665.0,2.0,0.5117550142465085,0.0,0.17708333333333331,0.25,551.5729166666667,1.5729166666666667,0.3126818317579353,0.0,1.0,1.0,204.0,0.0,0.6873181682420647,0.0,0.0,1.0,229.0,1.0,0.45937805816938654,0.0,0.0,0.0,665.0,2.0
card_0e989b722fb1daaca09c,state_864430d6fa091ba3b1f5,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS,MPE+RS,0.6516263207633587,0.0,0.0,0.0,721.0,3.0,0.4816038280858692,0.17708333333333331,0.38541666666666663,0.25,578.8125,1.9791666666666667,0.4793762660335876,0.0,0.5,1.0,199.0,0.0,0.490932742796534,0.0,0.5,1.0,225.0,1.0,0.6516263207633587,0.0,0.0,0.0,721.0,3.0
card_0f245a350803c1392590,state_cb9f7661a5f418ec49c0,sgv31_u01,0,M0+R0|M0+RS,M0+R0,0.5,0.0,1.0,1.0,199.0,0.0,0.5,0.0,1.0,0.25,490.75,0.75,0.5,0.0,1.0,1.0,199.0,0.0,0.5,0.0,1.0,1.0,199.0,0.0,0.5,0.0,1.0,0.0,588.0,1.0
card_1012b5ccdbdfbe29ac2d,state_bba634c26f74ef9851f7,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,ME+R0,0.6353222763782879,0.0,0.0,1.0,228.0,1.0,0.5114675181117281,0.0,0.13541666666666666,0.25,549.4166666666667,2.208333333333333,0.4542264203140977,0.0,0.5,0.5,205.0,0.0,0.6353222763782879,0.0,0.0,1.0,228.0,1.0,0.5456405462206761,0.0,0.0,0.0,667.0,3.0
card_1022e850f6878f7040a3,state_b913cbfb26d86593a1d4,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MSE+RS,0.756450616897679,0.0,0.0,0.0,709.0,3.0,0.5935882876486598,0.0625,0.08333333333333333,0.1875,579.6666666666667,2.208333333333333,0.24371290683954114,0.0,1.0,1.0,200.0,0.0,0.5351311428636153,0.0,0.0,1.0,223.0,1.0,0.756450616897679,0.0,0.0,0.0,709.0,3.0
card_1253f87a962b0bcc030f,state_8d7774345b1e93200c84,sgv31_u11,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.6167168348814488,0.0,0.0,0.0,713.0,2.0,0.5468781537880568,0.0,0.16666666666666669,0.25,585.0416666666666,1.4791666666666665,0.4620049730225572,0.0,1.0,1.0,207.0,0.0,0.4620049730225572,0.0,1.0,1.0,207.0,0.0,0.6167168348814488,0.0,0.0,0.0,713.0,2.0
card_1361e12253cc6edc44a2,state_6b29985f90c8856420d3,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS,M0+RS,0.6873181682420647,0.0,1.0,0.5,587.0,1.0,0.41701370135577964,0.0,0.17708333333333331,0.31770833333333337,508.67708333333337,1.5729166666666667,0.45937805816938654,0.0,1.0,1.0,198.0,0.0,0.5406219418306134,0.0,0.0,1.0,221.0,1.0,0.31268183175793535,0.0,0.0,0.0,610.0,2.0
card_14957091d6640bff38fe,state_8d7774345b1e93200c84,sgv31_u11,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MSE+RS,0.5995961948889968,0.0,0.0,0.0,716.0,3.0,0.5087284469164122,0.0,0.22916666666666666,0.25,586.6666666666667,2.208333333333333,0.4652277700074371,0.0,0.5,1.0,207.0,0.0,0.48991127416199254,0.0,0.5,1.0,230.0,1.0,0.5995961948889968,0.0,0.0,0.0,716.0,3.0
card_150164760842a6cb868b,state_201d6dfa8f16acc4e686,sgv31_u06,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS,ME+RS,0.5455894130339082,0.0,0.0,0.0,640.0,2.0,0.5140023910466818,0.0,0.17708333333333331,0.21875,563.6875,1.9791666666666667,0.43202674688573156,0.0,1.0,1.0,201.0,0.0,0.4537206907241562,0.0,0.0,0.5,251.0,1.0,0.5673043788992487,0.0,0.0,0.0,703.0,3.0
card_1612658af83c53ff3ce6,state_d6f3cab4f6d3122e390b,sgv31_u01,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.5797261210288974,0.5,0.0,0.0,709.0,2.0,0.516609608547687,0.2708333333333333,0.27083333333333337,0.25,581.3125,1.4791666666666665,0.5797261210288974,0.0,1.0,1.0,204.0,0.0,0.5797261210288974,0.0,1.0,1.0,204.0,0.0,0.5797261210288974,0.5,0.0,0.0,709.0,2.0
card_1627e44ece9767c8b70e,state_56323a2dbe7496613c69,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.5380951036826757,0.0,0.0,0.0,620.0,2.0,0.5154768086673909,0.0,0.15625,0.25,517.1770833333334,1.5729166666666667,0.3910338075810027,0.0,0.5,1.0,202.0,0.0,0.3218147329850663,0.0,0.0,1.0,225.0,1.0,0.5380951036826757,0.0,0.0,0.0,620.0,2.0
card_1780d6ebb208cb2320bc,state_c421d3a2c60deb3db059,sgv31_u01,0,M0+R0|M0+RS|MS+R0|MS+RS,M0+RS,0.6477291697335709,0.0,0.5,0.0,607.0,1.0,0.5738645848667854,0.0,0.13541666666666669,0.25,545.375,1.4791666666666665,0.3522708302664292,0.0,0.5,1.0,203.0,0.0,0.3522708302664292,0.0,0.5,1.0,203.0,0.0,0.6477291697335709,0.0,0.0,0.0,661.0,2.0
card_1833d5ceddcc20b496a4,state_69ef0d09ffcb2d1b5d7b,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS,MP+R0,0.40929688276122117,0.0,0.0,1.0,212.0,1.0,0.4982214385655594,0.0,0.041666666666666664,0.25,556.9583333333334,1.9791666666666667,0.5426564620899453,0.0,1.0,1.0,189.0,0.0,0.6581480167671392,0.0,0.0,1.0,234.0,1.0,0.3291128375184885,0.0,0.0,0.0,684.0,3.0
card_183d9dac93ab8d571d98,state_3c54a859a49689671a41,sgv31_u16,0,M0+R0|M0+RS|MP+R0|MP+RS,M0+RS,0.6508241519760448,0.0,1.0,0.0,591.0,1.0,0.4685783016716573,0.0,0.27083333333333337,0.25,546.9791666666666,1.4791666666666665,0.3491758480239551,0.0,1.0,1.0,202.0,0.0,0.3491758480239551,0.0,1.0,1.0,202.0,0.0,0.3491758480239551,0.0,0.0,0.0,664.0,2.0
card_189b82ad6197bb7962ad,state_1d2e66d5430e39adb40b,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.7490563557512552,0.0,0.0,0.0,639.0,2.0,0.6280989210495745,0.0,0.17708333333333331,0.25,533.25,1.5729166666666667,0.32181473298506635,0.0,1.0,1.0,202.0,0.0,0.3910338075810027,0.0,0.0,1.0,250.0,1.0,0.7490563557512552,0.0,0.0,0.0,639.0,2.0
card_18dd7139e9e973113b69,state_d6fc7098e529947669eb,sgv31_u11,0,M0+R0|M0+RS|MS+R0|MS+RS,M0+RS,0.42439180136663107,0.0,1.0,0.0,602.0,1.0,0.5864465548649865,0.0,0.27083333333333337,0.25,545.7708333333333,1.4791666666666665,0.42807112701660105,0.0,1.0,1.0,205.0,0.0,0.42807112701660105,0.0,1.0,1.0,205.0,0.0,0.723145270250137,0.0,0.0,0.0,661.0,2.0
card_198f30f4e4b422a12d00,state_27ac82cb8118ff171f0d,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MSE+RS,0.37678236198551635,0.0,0.0,0.0,716.0,3.0,0.4804854987619793,0.0,0.13541666666666666,0.25,586.0416666666667,2.208333333333333,0.42120193773644854,0.0,0.5,1.0,204.0,0.0,0.44378208637450817,0.0,0.0,1.0,230.0,1.0,0.37678236198551635,0.0,0.0,0.0,716.0,3.0
card_1a310ba524acf906a480,state_4e38f93b7b143c891640,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,M0+RS,0.5888081572225483,0.0,1.0,0.0,587.0,1.0,0.5232433801847306,0.0,0.32291666666666663,0.25,569.8541666666666,2.041666666666667,0.4763106425991984,0.0,0.5,1.0,198.0,0.0,0.4763106425991984,0.0,0.5,1.0,198.0,0.0,0.6529395205919631,0.0,0.0,0.0,709.0,3.0
card_1cefa94d5386f0783cac,state_9d9a435ab7e0fe25c389,sgv31_u16,0,M0+R0|M0+RS|ME+R0|ME+RS,M0+RS,0.6873181682420647,0.0,1.0,0.0,614.0,1.0,0.5010584144040069,0.0,0.17708333333333331,0.25,529.6458333333334,1.5729166666666667,0.3126818317579353,0.0,1.0,1.0,191.0,0.0,0.5406219418306134,0.0,0.0,1.0,217.0,1.0,0.45937805816938654,0.0,0.0,0.0,640.0,2.0
card_1dac22595d8c7be5b15d,state_f311acbf6079588aafaf,sgv31_u16,0,M0+R0|M0+RS|MS+R0|MS+RS,M0+RS,0.575608198633369,0.0,1.0,0.5,607.0,1.0,0.4135534451350135,0.0,0.27083333333333337,0.3541666666666667,549.0208333333334,1.4791666666666665,0.571928872983399,0.0,1.0,1.0,203.0,0.0,0.571928872983399,0.0,1.0,1.0,203.0,0.0,0.27685472974986314,0.0,0.0,0.0,666.0,2.0
card_1e1db42cb811d3dd2a83,state_c421d3a2c60deb3db059,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+RS,0.6477291697335709,0.0,0.0,0.0,633.0,2.0,0.5738645848667855,0.0,0.17708333333333331,0.25,527.3958333333333,1.5729166666666667,0.3522708302664292,0.0,1.0,1.0,203.0,0.0,0.3522708302664292,0.0,0.0,1.0,229.0,1.0,0.6477291697335709,0.0,0.0,0.0,633.0,2.0
card_1e9a4502be593b2a3215,state_dc3917fff5be2cef316f,sgv31_u06,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS|MPMS+R0|MPMS+RS|MPMSME+R0|MPMSME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,ME+RS,0.7040470256257894,0.0,0.5,0.0,616.0,2.0,0.5658801790819981,0.0,0.48958333333333337,0.25,567.8958333333334,2.375,0.44721998618833136,0.0,1.0,1.0,202.0,0.0,0.4858878507162945,0.0,0.5,1.0,227.0,1.0,0.32824629273225775,0.0,0.0,0.0,729.0,4.0
card_1f12d7989cf8e5fc8e5b,state_27ac82cb8118ff171f0d,sgv31_u16,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.3910338075810027,0.0,0.0,0.0,713.0,2.0,0.4529337258284595,0.0,0.27083333333333337,0.25,584.2291666666666,1.4791666666666665,0.5380951036826757,0.0,1.0,1.0,204.0,0.0,0.5380951036826757,0.0,1.0,1.0,204.0,0.0,0.3910338075810027,0.0,0.0,0.0,713.0,2.0
card_20b524f92d70a76dd716,state_143d4e5fd318b92e87b5,sgv31_u06,0,M0+R0|M0+RS|ME+R0|ME+RS,ME+R0,0.571928872983399,0.0,0.0,1.0,223.0,1.0,0.5343854735449838,0.0,0.17708333333333331,0.22916666666666669,548.0416666666666,1.5729166666666667,0.5756081986333689,0.0,1.0,0.5,195.0,0.0,0.571928872983399,0.0,0.0,1.0,223.0,1.0,0.5756081986333689,0.0,0.0,0.0,663.0,2.0
card_22d541de3a8260a08030,state_b913cbfb26d86593a1d4,sgv31_u11,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.771205679933669,0.0,0.0,0.0,706.0,2.0,0.629952721634883,0.0,0.27083333333333337,0.25,578.0416666666666,1.4791666666666665,0.22879432006633116,0.0,1.0,1.0,200.0,0.0,0.22879432006633116,0.0,1.0,1.0,200.0,0.0,0.771205679933669,0.0,0.0,0.0,706.0,2.0
card_235efc30aac5441d8a2f,state_201d6dfa8f16acc4e686,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS|MPMS+R0|MPMS+RS|MS+R0|MS+RS,MS+RS,0.48953940709861116,0.0,0.5,0.0,649.0,2.0,0.46110558968890236,0.0,0.28125000000000006,0.22916666666666669,572.8541666666666,2.041666666666667,0.6159302144204125,0.0,1.0,1.0,201.0,0.0,0.6159302144204125,0.0,1.0,1.0,201.0,0.0,0.44506377959035204,0.0,0.0,0.0,712.0,3.0
card_2375a3ad5e5dace6d3b5,state_5a42e018e45c17646d2d,sgv31_u01,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.5,0.0,0.0,0.0,660.0,2.0,0.5,0.0,0.16666666666666669,0.25,544.0625,1.4791666666666665,0.5,0.0,1.0,1.0,202.0,0.0,0.5,0.0,1.0,1.0,202.0,0.0,0.5,0.0,0.0,0.0,660.0,2.0
card_240cbf1b09c54fe1b71c,state_6760ceec29bdf8813ecc,sgv31_u06,0,M0+R0|M0+RS|MP+R0|MP+RS,MP+RS,0.6477291697335709,0.5,0.0,0.0,705.0,2.0,0.5738645848667854,0.2708333333333333,0.27083333333333337,0.25,576.5,1.4791666666666665,0.3522708302664292,0.0,1.0,1.0,197.0,0.0,0.3522708302664292,0.0,1.0,1.0,197.0,0.0,0.6477291697335709,0.5,0.0,0.0,705.0,2.0
card_241c14118d58ba4d0222,state_d6f3cab4f6d3122e390b,sgv31_u01,0,M0+R0|M0+RS|ME+R0|ME+RS|MP+R0|MP+RS|MPE+R0|MPE+RS|MPMS+R0|MPMS+RS|MPMSME+R0|MPMSME+RS|MS+R0|MS+RS|MSE+R0|MSE+RS,MPMS+RS,0.41320841983186085,0.5,0.0,0.0,754.0,3.0,0.5155496856311136,0.20833333333333331,0.10416666666666666,0.25,614.125,2.375,0.5169849501133268,0.0,1.0,1.0,204.0,0.0,0.5088744446834148,0.0,0.0,1.0,249.0,1.0,0.6377034207601244,0.5,0.0,0.0,790.0,4.0
